ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
JOU;Compteurs annuels;IJRNNUITRA;Nbre de nuits travaillées annuel;HJOU
CFG;Seuils et dates de référence;SDIDRJFJL;Droit RJF annuel - Journaliste;PARD
JOU;Options employé;IJIGHSUPPR;Modalité HS/HC;SECH
EMP;Hiérarchie;SEQROLES;Rôle défini dans l'interface;EMPL
SEH;Données personnalisées;SSITYPSERV;Type de service;SECH
JOU;Heures supplémentaires;IJRHSHMAJA;Cumul annuel HS/HC payées;HJOU
JOU;Horoquartz;SJRNBJMAIN;Nbres de jour de maintiens;HJOU
JOU;RTT/Autres Récup;SJRSPFI;Solde Journée PFI;HJOU
CFG;Définition des motifs;SDIVMCET;Motif CET;PARD
JOU;Prépaie;SJQAST5294;ESJ : Prime astreinte WE (5294);HJOU
CFG;Seuils et dates de référence;SDIDRJFRC;RC : Droit RJF annuel;PARD
CFG;Définition des motifs;SDIVMREP;Motif REP;PARD
JOU;Prépaie;SJQHDIF100;EV/PE : Majo Hrs diman/Férié 100% (7408);HJOU
JOU;RTT/Autres Récup;SJRCRCI;Pris RCI;HJOU
JOU;Options employé;SJIDRCPAN;Droit CP annuel forcé;HJOU
JOU;Options employé;SJQINSTC;A envoyer dans interface STC;HJOU
JOU;Suivis des forfaits jours;SEQJTREPFJ;Solde J. trav. sur repos ou JF sur année;EMPL
CFG;Seuils et dates de référence;SDIDRJFMO;MO : Droit RJF annuel;PARD
CFG;Définition des motifs;SDIVMPERM;Permanence;PARD
HOR;Données générales;SHICALEND;Calendrier de jour férié travaillé;HORC
JOU;Horoquartz;IJRCJDISP5;Effectif présent;HJOU
JOU;Prépaie;IJRCHDISP3;PO : Heures de dimanche (0359);HJOU
JOU;Horoquartz;SJRJPRECAL;Jour de présence calendaire de l'année;HJOU
JOU;Horoquartz;SJRACQSUPF;Acquis. C. supplemen. FJ au 01/01/N;HJOU
JOU;Congés;SJRDCMDF;Droit C. mère/père de famille;HJOU
JOU;RTT/Autres Récup;SJRSDH;Solde DH;HJOU
JOU;Compteurs journaliers;SJQHTENT4;Horaire entree 4;HJOU
CFG;Gestion forfaits jours;SDICFJYR;YR : Cible FJ annuel;PARD
EMP;Hiérarchie;SEIMATRH1;Matricule RH 1;EMPL
CFG;Définition des motifs;SDIVMDS;Motif délégation DS;PARD
CFG;Seuils et dates de référence;SDIPLCETES;ES : Plafond CET;PARD
EMP;Paramétrage individuel;IEIDIVER01;Divers;EMPL
JOU;Heures supplémentaires;SJRSHSRE0;EV-Récup HS/HC Cycle En Cours;HJOU
JOU;Prépaie;SJQHNUIP50;PE : Majo hrs nuit à 50% (7404);HJOU
JOU;Congés;SJRCCSUP;Pris C. supplémentaire;HJOU
JOU;RTT/Autres Récup;SJRSRDEC;Nombres de repos décalés du mois (J);HJOU
JOU;Horoquartz;SJQORDRCP;Ordre de conso des CPR;HJOU
EMP;Compteurs Prévisionnels;SEQCPFI;Pris prév. PFI;EMPL
JOU;Heures supplémentaires;SJRRECPERM;PU : Dont récupération sur permanence;HJOU
CFG;Congés payés;SDIDCPHEJ;HE : Droit CP pour Journaliste;PARD
JOU;Suivis des forfaits jours;SEQTCPRTFJ;Nbr jours de CP/RTT alimentant PERCO/CET;EMPL
JOU;RTT/Autres Récup;SJRDRCI;Droit RCI;HJOU
CFG;Définition des motifs;IDIVMCOPRI;Congé payé acquis (CP2);PARD
PRO;Données générales;SPIPAUSPAI;Durée pause payée;PROF
CFG;Gestion forfaits jours;SDICFJMO;MO : Cible FJ annuel;PARD
JOU;Congés reportés;SJRSPREP1;Solde CP reporté période 1;HJOU
CFG;Définition des motifs;IDIVMCOANC;Congé ancienneté;PARD
JOU;Options employé;IJIGCDTYPP;Période de traitement;SECH
CFG;Définition des motifs;IDIVMCOREL;Congé reporté;PARD
JOU;Prépaie;SJQHJF1;Heures de fériés 1° mai (0357);HJOU
CFG;Congés payés;SDIDCPYR;YR : Droit CP par Défaut;PARD
EMP;Acquisition de droit au forfait;SEQDRJFN4;Droit RJF N-4;EMPL
JOU;Compteurs annuels;IJRNSAMTRA;Nbre de samedi travaillés annuel;HJOU
HOR;Données générales;SHIAFF2;Affichage libre N°2;HORC
JOU;RTT/Autres Récup;IJRSNBJRTT;Solde RTT (J);HJOU
JOU;Congés reportés;SJRDPREP3;Droit CP reporté période 3;HJOU
EMP;Acquisition de droit au forfait;SEIDATFCN1;Date fin ACQ N-1;EMPL
JOU;Congés reportés;SJQTEMADP;Témoin ADP création période paie;HJOU
CFG;Définition des motifs;SDIVMCOANT;CP en cours acquisition (CP1);PARD
CFG;Seuils et dates de référence;SDISADHMO;MO : Seuil nb abs. abat. droit DH;PARD
CFG;Congés payés;SDIDCPVH;VH : Droit CP par Défaut;PARD
JOU;Prépaie;SJQP6SERVD;MO : Prime 6° services dimanche (5280);HJOU
JOU;Heures supplémentaires;IJQHSNMARE;Heures complémentaires à 10% à récup.;HJOU
CFG;Seuils et dates de référence;SDISAPFIYR;YR : Seuil nb abs. abat. droit PFI;PARD
CFG;Seuils et dates de référence;SDIDRJFYR;YR : Droit RJF annuel;PARD
